,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ribeira Grande,92,PT,1549237879,96,38.52,-28.7,62.76,20.83
1,Kodiak,1,US,1549236900,87,39.95,-94.76,60.98,10.29
2,Hilo,75,US,1549234380,73,19.71,-155.08,78.08,11.41
3,Tiksi,12,RU,1549237879,0,71.64,128.87,-36.2,4.94
4,Hofn,56,IS,1549237880,100,64.25,-15.21,29.78,5.73
5,Kahului,90,US,1549234560,76,20.89,-156.47,75.92,11.41
6,Honiara,76,SB,1549237608,100,-9.43,159.96,78.42,3.83
7,Young,32,UY,1549237880,68,-32.7,-57.63,70.59,9.42
8,Punta Arenas,0,CL,1549234800,35,-53.16,-70.91,69.8,19.46
9,Kapaa,20,US,1549234560,62,22.08,-159.32,78.98,16.11
10,Togul,0,RU,1549237881,0,53.47,85.91,-38.0,3.15
11,Sabang,88,PH,1549237882,100,13.72,123.58,75.77,13.44
12,Mataura,68,NZ,1549237882,49,-46.19,168.86,70.19,24.74
13,Omsukchan,36,RU,1549237882,70,62.53,155.8,-12.17,10.42
14,Saint George,75,GR,1549234200,93,39.45,22.34,55.4,2.59
15,Jamestown,0,AU,1549237772,43,-33.21,138.6,75.54,13.67
16,Gao,0,ML,1549237884,47,16.28,-0.04,65.19,6.4
17,Chokurdakh,36,RU,1549237884,52,70.62,147.9,-30.84,9.31
18,New Norfolk,40,AU,1549236600,63,-42.78,147.06,66.2,14.99
19,Rikitea,0,PF,1549237884,100,-23.12,-134.97,81.84,7.63
20,Bredasdorp,92,ZA,1549234800,88,-34.53,20.04,66.2,6.93
21,Butaritari,36,KI,1549237885,100,3.07,172.79,83.69,20.94
22,Ahipara,20,NZ,1549237885,74,-35.17,173.16,74.69,10.87
23,Chuy,20,UY,1549237886,80,-33.69,-53.46,66.23,10.2
24,Lorengau,92,PG,1549237886,100,-2.02,147.27,79.77,10.76
25,Qaanaaq,8,GL,1549237886,80,77.48,-69.36,-18.96,3.15
26,Cape Town,0,ZA,1549234800,93,-33.93,18.42,64.4,9.17
27,Mikun,32,RU,1549237887,63,62.35,50.08,-7.53,11.43
28,Vaini,0,IN,1549237887,62,15.34,74.49,65.33,6.96
29,Kandrian,68,PG,1549237888,76,-6.21,149.55,85.17,7.74
